,Salary,SalaryType,YearsCoding,YearsCodingProf,Currency,SalaryUSD
27238,60000.0,Yearly,9-11 years,3-5 years,Canadian dollars (C$),43800.0
27240,65000.0,Monthly,3-5 years,0-2 years,Russian rubles (₽),8580.0
27243,160000.0,Yearly,15-17 years,12-14 years,Australian dollars (A$),104000.0
27247,120000.0,Yearly,9-11 years,9-11 years,U.S. dollars ($),120000.0
27248,3800.0,Monthly,15-17 years,15-17 years,Euros (€),48792.00000000001
27249,2000000.0,Yearly,15-17 years,15-17 years,Indian rupees (₹),24000.0
27253,43000.0,Yearly,0-2 years,3-5 years,U.S. dollars ($),43000.0
27254,170000.0,Monthly,6-8 years,6-8 years,Indian rupees (₹),24480.0
27256,4200.0,Monthly,15-17 years,3-5 years,Euros (€),53928.0
27257,64000.0,Yearly,9-11 years,9-11 years,Australian dollars (A$),41600.0
27258,30000.0,Yearly,6-8 years,0-2 years,British pounds sterling (£),37200.0
27259,115000.0,Yearly,18-20 years,9-11 years,U.S. dollars ($),115000.0
27260,32702.0,Yearly,6-8 years,3-5 years,British pounds sterling (£),40550.48
27261,110000.0,Yearly,9-11 years,6-8 years,Canadian dollars (C$),80300.0
27262,3000.0,Monthly,6-8 years,0-2 years,Euros (€),38520.0
27263,12000.0,Yearly,12-14 years,9-11 years,Euros (€),12840.0
27264,24000.0,Yearly,3-5 years,0-2 years,British pounds sterling (£),29760.0
27265,57750.0,Yearly,15-17 years,3-5 years,British pounds sterling (£),71610.0
27266,29000.0,Monthly,9-11 years,0-2 years,Danish krone (kr),48720.00000000001
27268,149000.0,Yearly,12-14 years,12-14 years,U.S. dollars ($),149000.0
27269,32000.0,Yearly,0-2 years,0-2 years,Euros (€),34240.0
27270,75500.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),75500.0
27271,13500.0,Monthly,9-11 years,6-8 years,Polish złoty (zł),40500.0
27273,6100.0,Monthly,6-8 years,6-8 years,Brazilian reais (R$),13908.0
27274,10000.0,Yearly,3-5 years,0-2 years,British pounds sterling (£),12400.0
27275,19000.0,Monthly,3-5 years,0-2 years,Indian rupees (₹),2736.0
27276,2500.0,Monthly,9-11 years,3-5 years,Euros (€),32100.0
27278,113000.0,Yearly,30 or more years,6-8 years,U.S. dollars ($),113000.0
27279,2000.0,Monthly,9-11 years,3-5 years,Euros (€),25680.0
27280,90000.0,Yearly,9-11 years,3-5 years,U.S. dollars ($),90000.0
27281,11000.0,Monthly,9-11 years,9-11 years,Polish złoty (zł),33000.0
27283,170000.0,Yearly,12-14 years,9-11 years,U.S. dollars ($),170000.0
27284,800.0,Monthly,9-11 years,9-11 years,Euros (€),10272.0
27286,50000.0,Yearly,15-17 years,3-5 years,British pounds sterling (£),62000.0
27289,1000.0,Monthly,6-8 years,3-5 years,Euros (€),12840.0
27291,4500.0,Monthly,6-8 years,6-8 years,U.S. dollars ($),54000.0
27292,47000.0,Yearly,6-8 years,3-5 years,British pounds sterling (£),58280.0
27293,45000.0,Yearly,9-11 years,6-8 years,British pounds sterling (£),55800.0
27300,120000.0,Yearly,6-8 years,6-8 years,U.S. dollars ($),120000.0
27301,120000.0,Yearly,0-2 years,0-2 years,Chinese yuan renminbi (¥),16800.0
27304,27000.0,Yearly,6-8 years,0-2 years,British pounds sterling (£),33480.0
27305,750000.0,Yearly,15-17 years,9-11 years,South African rands (R),39000.0
27310,77000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),77000.0
27313,10700.0,Monthly,6-8 years,6-8 years,Polish złoty (zł),32100.0
27315,26000.0,Monthly,3-5 years,3-5 years,Mexican pesos (MXN$),18408.0
27316,40000.0,Yearly,9-11 years,6-8 years,British pounds sterling (£),49600.0
27318,91000.0,Monthly,6-8 years,3-5 years,Indian rupees (₹),13104.0
27319,118000.0,Yearly,21-23 years,21-23 years,Canadian dollars (C$),86140.0
27322,180000.0,Monthly,9-11 years,9-11 years,Russian rubles (₽),23759.999999999996
27326,105000.0,Yearly,9-11 years,3-5 years,Swiss francs,115500.00000000001
27330,70000.0,Monthly,6-8 years,3-5 years,Indian rupees (₹),10080.0
27337,41000.0,Yearly,15-17 years,12-14 years,Euros (€),43870.0
27340,9000.0,Monthly,18-20 years,18-20 years,Brazilian reais (R$),20520.0
27342,3400.0,Monthly,21-23 years,9-11 years,Euros (€),43656.0
27344,600.0,Monthly,6-8 years,0-2 years,British pounds sterling (£),8928.0
27348,105000.0,Yearly,9-11 years,6-8 years,U.S. dollars ($),105000.0
27351,53000.0,Monthly,24-26 years,9-11 years,Indian rupees (₹),7632.0
27353,1300.0,Monthly,6-8 years,3-5 years,U.S. dollars ($),15600.0
27357,18000.0,Yearly,6-8 years,0-2 years,British pounds sterling (£),22320.0
27359,62000.0,Weekly,6-8 years,3-5 years,U.S. dollars ($),3224000.0
27361,5000.0,Yearly,6-8 years,3-5 years,Euros (€),5350.0
27362,120000.0,Monthly,9-11 years,9-11 years,Indian rupees (₹),17280.0
27363,56000.0,Yearly,9-11 years,3-5 years,Euros (€),59920.0
27365,85000.0,Yearly,30 or more years,24-26 years,British pounds sterling (£),105400.0
27368,20000.0,Yearly,0-2 years,0-2 years,Euros (€),21400.0
27369,250000.0,Yearly,12-14 years,9-11 years,U.S. dollars ($),250000.0
27373,620000.0,Yearly,9-11 years,3-5 years,Norwegian krone (kr),56420.0
27376,86000.0,Monthly,15-17 years,6-8 years,U.S. dollars ($),1032000.0
27377,48000.0,Yearly,3-5 years,3-5 years,Euros (€),51360.0
27380,3600.0,Monthly,6-8 years,3-5 years,Brazilian reais (R$),8208.0
27381,660000.0,Yearly,6-8 years,3-5 years,Indian rupees (₹),7920.0
27385,40000.0,Yearly,3-5 years,0-2 years,Euros (€),42800.0
27386,60000.0,Yearly,18-20 years,0-2 years,Canadian dollars (C$),43800.0
27387,54000.0,Yearly,9-11 years,3-5 years,Euros (€),57780.0
27388,800.0,Weekly,0-2 years,0-2 years,U.S. dollars ($),41600.0
27389,140000.0,Yearly,15-17 years,15-17 years,U.S. dollars ($),140000.0
27391,49000.0,Monthly,3-5 years,3-5 years,Indian rupees (₹),7056.0
27392,6200.0,Monthly,9-11 years,6-8 years,Australian dollars (A$),48360.0
27393,80000.0,Yearly,15-17 years,0-2 years,U.S. dollars ($),80000.0
27396,12000.0,Monthly,0-2 years,0-2 years,Mexican pesos (MXN$),8496.0
27397,105000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),105000.0
27398,70.0,Monthly,3-5 years,0-2 years,U.S. dollars ($),840.0
27400,65000.0,Yearly,6-8 years,0-2 years,Canadian dollars (C$),47450.0
27402,45000.0,Yearly,24-26 years,18-20 years,Euros (€),48150.0
27404,212000.0,Monthly,0-2 years,0-2 years,Indian rupees (₹),30528.0
27406,115000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),115000.0
27407,35000.0,Monthly,9-11 years,6-8 years,Swedish kroner (SEK),38640.0
27408,5800.0,Monthly,15-17 years,12-14 years,Euros (€),74472.0
27410,61000.0,Yearly,12-14 years,9-11 years,U.S. dollars ($),61000.0
27412,3015.0,Monthly,9-11 years,3-5 years,Euros (€),38712.600000000006
27414,1200000.0,Yearly,6-8 years,3-5 years,Indian rupees (₹),14400.0
27417,3500.0,Monthly,9-11 years,3-5 years,Euros (€),44940.0
27418,150000.0,Monthly,9-11 years,9-11 years,Indian rupees (₹),21600.0
27420,10000.0,Monthly,12-14 years,12-14 years,Australian dollars (A$),78000.0
27421,72000.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),72000.0
27422,100000.0,Yearly,21-23 years,9-11 years,U.S. dollars ($),100000.0
27427,90000.0,Yearly,9-11 years,6-8 years,Canadian dollars (C$),65700.0
27434,93000.0,Yearly,0-2 years,0-2 years,U.S. dollars ($),93000.0
27438,150000.0,Monthly,24-26 years,18-20 years,Russian rubles (₽),19800.0
27439,300.0,Monthly,6-8 years,3-5 years,U.S. dollars ($),3600.0
27440,10000.0,Monthly,6-8 years,3-5 years,Polish złoty (zł),30000.0
27443,4825.0,Monthly,0-2 years,0-2 years,Polish złoty (zł),14475.0
27444,840.0,Monthly,6-8 years,3-5 years,Euros (€),10785.6
27447,35000.0,Yearly,9-11 years,0-2 years,British pounds sterling (£),43400.0
27448,30000.0,Monthly,3-5 years,3-5 years,Indian rupees (₹),4320.0
27449,100000.0,Yearly,18-20 years,18-20 years,Euros (€),107000.0
27450,1994.0,Monthly,3-5 years,3-5 years,Euros (€),25602.96
27452,120000.0,Yearly,27-29 years,15-17 years,U.S. dollars ($),120000.0
27461,20000.0,Monthly,0-2 years,0-2 years,Indian rupees (₹),2880.0
27463,88000.0,Monthly,6-8 years,3-5 years,U.S. dollars ($),1056000.0
27464,66000.0,Yearly,21-23 years,6-8 years,Euros (€),70620.0
27467,30000.0,Yearly,3-5 years,0-2 years,British pounds sterling (£),37200.0
27470,1700000.0,Yearly,6-8 years,6-8 years,Indian rupees (₹),20400.0
27471,970000.0,Yearly,3-5 years,0-2 years,Indian rupees (₹),11640.0
27479,115000.0,Yearly,15-17 years,15-17 years,British pounds sterling (£),142600.0
27486,70000.0,Yearly,18-20 years,18-20 years,British pounds sterling (£),86800.0
27491,22000.0,Monthly,6-8 years,3-5 years,Indian rupees (₹),3168.0
27492,100000.0,Yearly,21-23 years,21-23 years,Canadian dollars (C$),73000.0
27493,115000.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),115000.0
27496,55000.0,Yearly,12-14 years,6-8 years,Euros (€),58850.0
27497,53000.0,Yearly,12-14 years,6-8 years,U.S. dollars ($),53000.0
27501,30000.0,Monthly,6-8 years,0-2 years,Russian rubles (₽),3960.0
27504,62000.0,Yearly,12-14 years,12-14 years,Euros (€),66340.0
27506,1100.0,Monthly,18-20 years,9-11 years,U.S. dollars ($),13200.0
27509,60000.0,Monthly,6-8 years,3-5 years,Mexican pesos (MXN$),42480.0
27511,60000.0,Monthly,21-23 years,15-17 years,Swedish kroner (SEK),66240.0
27513,65000.0,Yearly,9-11 years,0-2 years,Australian dollars (A$),42250.0
27514,180000.0,Yearly,24-26 years,18-20 years,U.S. dollars ($),180000.0
27521,34000.0,Yearly,12-14 years,3-5 years,British pounds sterling (£),42160.0
27522,275000.0,Yearly,15-17 years,9-11 years,U.S. dollars ($),275000.0
27524,80000.0,Monthly,21-23 years,18-20 years,Euros (€),1027200.0
27527,70000.0,Yearly,3-5 years,3-5 years,Canadian dollars (C$),51100.0
27528,7000.0,Monthly,6-8 years,0-2 years,Chinese yuan renminbi (¥),11760.000000000002
27529,58000.0,Yearly,12-14 years,6-8 years,Euros (€),62060.0
27530,105000.0,Yearly,21-23 years,12-14 years,U.S. dollars ($),105000.0
27531,130000.0,Yearly,12-14 years,6-8 years,Canadian dollars (C$),94900.0
27532,150000.0,Yearly,30 or more years,24-26 years,U.S. dollars ($),150000.0
27533,3185.0,Monthly,15-17 years,15-17 years,Euros (€),40895.4
27534,98600.0,Yearly,30 or more years,30 or more years,U.S. dollars ($),98600.0
27535,73831.0,Monthly,3-5 years,3-5 years,Indian rupees (₹),10631.664
27537,75000.0,Yearly,12-14 years,12-14 years,Euros (€),80250.0
27539,1500000.0,Yearly,9-11 years,6-8 years,Indian rupees (₹),18000.0
27543,1120.1,Weekly,3-5 years,3-5 years,Canadian dollars (C$),42518.99599999999
27545,82000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),82000.0
27546,40000.0,Yearly,3-5 years,0-2 years,Euros (€),42800.0
27547,76000.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),76000.0
27548,1600.0,Monthly,3-5 years,0-2 years,Euros (€),20544.0
27551,11500.0,Monthly,15-17 years,12-14 years,Brazilian reais (R$),26220.0
27553,600000.0,Yearly,6-8 years,3-5 years,Indian rupees (₹),7200.0
27554,300.0,Weekly,3-5 years,0-2 years,Brazilian reais (R$),2964.0
27558,25000.0,Yearly,3-5 years,3-5 years,Euros (€),26750.0
27561,63000.0,Yearly,9-11 years,9-11 years,Euros (€),67410.0
27563,31000.0,Yearly,6-8 years,0-2 years,British pounds sterling (£),38440.0
27564,140000.0,Yearly,12-14 years,6-8 years,U.S. dollars ($),140000.0
27565,97500.0,Yearly,12-14 years,6-8 years,U.S. dollars ($),97500.0
27567,720000.0,Yearly,18-20 years,18-20 years,Mexican pesos (MXN$),42480.0
27574,65000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),65000.0
27580,45000.0,Monthly,0-2 years,0-2 years,Russian rubles (₽),5939.999999999999
27582,27000.0,Monthly,6-8 years,0-2 years,Swedish kroner (SEK),29808.0
27583,120000.0,Yearly,9-11 years,9-11 years,U.S. dollars ($),120000.0
27584,150000.0,Yearly,30 or more years,30 or more years,Australian dollars (A$),97500.0
27588,80000.0,Yearly,30 or more years,30 or more years,Canadian dollars (C$),58400.0
27589,54080.0,Yearly,6-8 years,6-8 years,U.S. dollars ($),54080.0
27590,134000.0,Yearly,9-11 years,9-11 years,U.S. dollars ($),134000.0
27593,72000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),72000.0
27594,55000.0,Monthly,3-5 years,0-2 years,Russian rubles (₽),7260.0
27603,55000.0,Yearly,18-20 years,6-8 years,Euros (€),58850.0
27604,55000.0,Yearly,12-14 years,9-11 years,British pounds sterling (£),68200.0
27608,165000.0,Yearly,18-20 years,18-20 years,U.S. dollars ($),165000.0
27611,140000.0,Yearly,15-17 years,15-17 years,U.S. dollars ($),140000.0
27612,1279.0,Monthly,6-8 years,3-5 years,U.S. dollars ($),15348.0
27614,118000.0,Yearly,27-29 years,15-17 years,U.S. dollars ($),118000.0
27615,2400.0,Monthly,6-8 years,0-2 years,Euros (€),30816.0
27616,85668.0,Yearly,15-17 years,6-8 years,U.S. dollars ($),85668.0
27618,50000.0,Monthly,12-14 years,3-5 years,Euros (€),642000.0
27619,1100000.0,Yearly,6-8 years,3-5 years,Indian rupees (₹),13200.0
27620,10000.0,Monthly,3-5 years,0-2 years,Mexican pesos (MXN$),7080.0
27622,1570000.0,Yearly,6-8 years,6-8 years,Indian rupees (₹),18840.0
27624,65000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),65000.0
27627,250000.0,Yearly,21-23 years,21-23 years,Canadian dollars (C$),182500.0
27628,105000.0,Monthly,12-14 years,3-5 years,Euros (€),1348200.0
27634,55000.0,Yearly,0-2 years,0-2 years,U.S. dollars ($),55000.0
27636,75000.0,Yearly,12-14 years,6-8 years,Euros (€),80250.0
27637,65000.0,Yearly,24-26 years,15-17 years,Euros (€),69550.0
27638,1650.0,Monthly,12-14 years,9-11 years,Euros (€),21186.0
27639,3250.0,Monthly,3-5 years,0-2 years,Euros (€),41730.0
27641,110000.0,Yearly,21-23 years,18-20 years,U.S. dollars ($),110000.0
27642,17000.0,Monthly,12-14 years,9-11 years,Chinese yuan renminbi (¥),28560.0
27643,160000.0,Yearly,12-14 years,9-11 years,U.S. dollars ($),160000.0
27646,1500.0,Monthly,6-8 years,3-5 years,Euros (€),19260.0
27648,5000.0,Monthly,18-20 years,15-17 years,Euros (€),64200.0
27649,700000.0,Yearly,12-14 years,0-2 years,Indian rupees (₹),8400.0
27651,52000.0,Monthly,6-8 years,0-2 years,Indian rupees (₹),7488.0
27653,79000.0,Monthly,6-8 years,3-5 years,Indian rupees (₹),11376.0
27662,125000.0,Yearly,30 or more years,30 or more years,Australian dollars (A$),81250.0
27663,100000.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),100000.0
27668,122000.0,Monthly,15-17 years,3-5 years,Russian rubles (₽),16104.0
27670,350.0,Monthly,3-5 years,3-5 years,U.S. dollars ($),4200.0
27672,165000.0,Yearly,6-8 years,6-8 years,U.S. dollars ($),165000.0
27674,35000.0,Yearly,0-2 years,0-2 years,British pounds sterling (£),43400.0
27676,120000.0,Monthly,18-20 years,18-20 years,Russian rubles (₽),15840.0
27677,35000.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),35000.0
27678,78000.0,Yearly,15-17 years,15-17 years,Euros (€),83460.0
27679,480000.0,Yearly,3-5 years,0-2 years,Indian rupees (₹),5760.0
27681,28000.0,Yearly,15-17 years,9-11 years,Euros (€),29960.0
27686,49000.0,Monthly,30 or more years,21-23 years,Swedish kroner (SEK),54096.0
27690,31500.0,Monthly,6-8 years,0-2 years,Swedish kroner (SEK),34776.0
27698,290000.0,Yearly,0-2 years,0-2 years,Indian rupees (₹),3480.0
27701,85000.0,Yearly,15-17 years,12-14 years,U.S. dollars ($),85000.0
27705,45000.0,Yearly,24-26 years,9-11 years,Euros (€),48150.0
27706,32000.0,Yearly,6-8 years,3-5 years,Euros (€),34240.0
27708,25000.0,Monthly,0-2 years,0-2 years,Indian rupees (₹),3600.0
27709,710000.0,Monthly,6-8 years,3-5 years,Danish krone (kr),1192800.0000000002
27711,600.0,Monthly,12-14 years,6-8 years,U.S. dollars ($),7200.0
27712,3000.0,Monthly,6-8 years,0-2 years,Brazilian reais (R$),6840.0
27715,2000.0,Monthly,9-11 years,6-8 years,U.S. dollars ($),24000.0
27716,120000.0,Monthly,6-8 years,3-5 years,U.S. dollars ($),1440000.0
27717,85000.0,Yearly,30 or more years,30 or more years,U.S. dollars ($),85000.0
27718,132000.0,Yearly,15-17 years,9-11 years,U.S. dollars ($),132000.0
27720,635500.0,Yearly,6-8 years,3-5 years,Indian rupees (₹),7626.0
27721,42000.0,Yearly,6-8 years,6-8 years,British pounds sterling (£),52080.0
27722,600000.0,Yearly,3-5 years,3-5 years,Indian rupees (₹),7200.0
27727,8000.0,Monthly,9-11 years,3-5 years,Polish złoty (zł),24000.0
27733,11000.0,Yearly,9-11 years,6-8 years,U.S. dollars ($),11000.0
27734,82500.0,Yearly,9-11 years,6-8 years,U.S. dollars ($),82500.0
27735,72500.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),72500.0
27738,38000.0,Yearly,12-14 years,6-8 years,Euros (€),40660.0
27740,38000.0,Monthly,3-5 years,3-5 years,British pounds sterling (£),565440.0
27743,2400.0,Monthly,9-11 years,3-5 years,Euros (€),30816.0
27744,70000.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),70000.0
27745,0.0,Yearly,6-8 years,6-8 years,U.S. dollars ($),0.0
27746,500.0,Monthly,6-8 years,0-2 years,Euros (€),6420.0
27751,75000.0,Yearly,30 or more years,24-26 years,Euros (€),80250.0
27752,1100000.0,Yearly,3-5 years,0-2 years,Indian rupees (₹),13200.0
27753,680000.0,Yearly,6-8 years,3-5 years,Norwegian krone (kr),61880.0
27754,69000.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),69000.0
27758,40000.0,Monthly,3-5 years,0-2 years,Russian rubles (₽),5280.0
27759,10000.0,Monthly,3-5 years,3-5 years,British pounds sterling (£),148800.0
27760,50000.0,Yearly,3-5 years,0-2 years,Euros (€),53500.0
27767,9600.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),9600.0
27769,40000.0,Yearly,12-14 years,12-14 years,Euros (€),42800.0
27770,38220.0,Yearly,0-2 years,0-2 years,U.S. dollars ($),38220.0
27772,25000.0,Monthly,9-11 years,3-5 years,Mexican pesos (MXN$),17700.0
27773,36256.0,Yearly,0-2 years,0-2 years,Euros (€),38793.920000000006
27774,105000.0,Yearly,0-2 years,0-2 years,U.S. dollars ($),105000.0
27776,5000.0,Monthly,9-11 years,3-5 years,Singapore dollars (S$),43800.0
27777,80000.0,Yearly,12-14 years,9-11 years,U.S. dollars ($),80000.0
27780,65000.0,Yearly,30 or more years,18-20 years,Euros (€),69550.0
27781,850000.0,Yearly,15-17 years,3-5 years,Indian rupees (₹),10200.0
27782,135000.0,Yearly,15-17 years,6-8 years,U.S. dollars ($),135000.0
27783,50000.0,Monthly,15-17 years,12-14 years,South African rands (R),31200.0
27790,5000.0,Monthly,3-5 years,0-2 years,Polish złoty (zł),15000.0
27791,4000.0,Monthly,6-8 years,3-5 years,Brazilian reais (R$),9120.0
27798,42000.0,Yearly,6-8 years,6-8 years,U.S. dollars ($),42000.0
27808,51000.0,Yearly,24-26 years,18-20 years,British pounds sterling (£),63240.0
27813,18000.0,Monthly,9-11 years,3-5 years,Chinese yuan renminbi (¥),30240.000000000007
27814,90000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),90000.0
27816,182000.0,Yearly,9-11 years,3-5 years,U.S. dollars ($),182000.0
27817,3800.0,Monthly,3-5 years,0-2 years,U.S. dollars ($),45600.0
27818,10000.0,Monthly,30 or more years,30 or more years,U.S. dollars ($),120000.0
27820,57000.0,Yearly,12-14 years,12-14 years,Euros (€),60990.0
27822,4600.0,Monthly,3-5 years,3-5 years,Euros (€),59064.0
27823,115000.0,Yearly,15-17 years,15-17 years,U.S. dollars ($),115000.0
27824,38000.0,Yearly,12-14 years,12-14 years,British pounds sterling (£),47120.0
27825,105000.0,Yearly,21-23 years,12-14 years,U.S. dollars ($),105000.0
27828,46000.0,Yearly,3-5 years,0-2 years,Euros (€),49220.0
27829,5000.0,Monthly,3-5 years,3-5 years,Polish złoty (zł),15000.0
27831,22000.0,Yearly,9-11 years,0-2 years,British pounds sterling (£),27280.0
27833,90000.0,Yearly,18-20 years,18-20 years,U.S. dollars ($),90000.0
27834,59000.0,Yearly,0-2 years,0-2 years,Canadian dollars (C$),43070.0
27836,2150.0,Monthly,18-20 years,6-8 years,Euros (€),27606.0
27837,90000.0,Monthly,9-11 years,3-5 years,Indian rupees (₹),12960.0
27839,2500.0,Monthly,6-8 years,3-5 years,Euros (€),32100.0
27841,500.0,Weekly,3-5 years,0-2 years,Canadian dollars (C$),18980.0
27850,130000.0,Yearly,15-17 years,9-11 years,Canadian dollars (C$),94900.0
27855,147000.0,Yearly,30 or more years,6-8 years,U.S. dollars ($),147000.0
27856,200000.0,Monthly,12-14 years,9-11 years,Russian rubles (₽),26400.0
27859,50000.0,Yearly,18-20 years,6-8 years,British pounds sterling (£),62000.0
27860,37500.0,Monthly,18-20 years,3-5 years,Swedish kroner (SEK),41400.0
27862,8500.0,Monthly,3-5 years,0-2 years,Polish złoty (zł),25500.0
27867,130000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),130000.0
27868,900000.0,Yearly,6-8 years,6-8 years,Indian rupees (₹),10800.0
27877,183000.0,Yearly,30 or more years,27-29 years,U.S. dollars ($),183000.0
27880,550.0,Monthly,3-5 years,3-5 years,U.S. dollars ($),6600.0
27881,1737.0,Monthly,15-17 years,9-11 years,Euros (€),22303.08
27882,500000.0,Yearly,6-8 years,0-2 years,Norwegian krone (kr),45500.0
27883,7000.0,Monthly,9-11 years,9-11 years,Brazilian reais (R$),15960.0
27884,75000.0,Yearly,9-11 years,6-8 years,U.S. dollars ($),75000.0
27887,96000.0,Yearly,30 or more years,21-23 years,U.S. dollars ($),96000.0
27890,5000.0,Monthly,3-5 years,0-2 years,Canadian dollars (C$),43800.0
27891,7166.0,Monthly,15-17 years,6-8 years,Polish złoty (zł),21498.0
27892,14000.0,Monthly,3-5 years,3-5 years,Chinese yuan renminbi (¥),23520.000000000004
27894,93000.0,Yearly,21-23 years,18-20 years,U.S. dollars ($),93000.0
27895,58000.0,Yearly,0-2 years,0-2 years,U.S. dollars ($),58000.0
27897,25500.0,Yearly,12-14 years,9-11 years,Euros (€),27285.0
27899,6800.0,Monthly,3-5 years,0-2 years,Polish złoty (zł),20400.0
27901,50000.0,Weekly,3-5 years,0-2 years,Canadian dollars (C$),1898000.0
27902,130.0,Weekly,6-8 years,3-5 years,U.S. dollars ($),6760.0
27905,4000.0,Monthly,6-8 years,3-5 years,Euros (€),51360.0
27906,3500.0,Monthly,9-11 years,9-11 years,Euros (€),44940.0
27907,148000.0,Yearly,21-23 years,15-17 years,U.S. dollars ($),148000.0
27908,97000.0,Monthly,3-5 years,3-5 years,U.S. dollars ($),1164000.0
27909,685000.0,Yearly,3-5 years,3-5 years,Indian rupees (₹),8220.0
27911,87500.0,Yearly,9-11 years,3-5 years,U.S. dollars ($),87500.0
27916,90000.0,Yearly,9-11 years,6-8 years,U.S. dollars ($),90000.0
27917,4500.0,Monthly,15-17 years,0-2 years,Singapore dollars (S$),39420.0
27918,57000.0,Yearly,18-20 years,9-11 years,Euros (€),60990.0
27919,61200.0,Yearly,6-8 years,3-5 years,Canadian dollars (C$),44676.0
27921,3800.0,Monthly,15-17 years,9-11 years,Euros (€),48792.00000000001
27922,96000.0,Yearly,18-20 years,15-17 years,U.S. dollars ($),96000.0
27927,72000.0,Yearly,12-14 years,6-8 years,Euros (€),77040.0
27929,80000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),80000.0
27930,45000.0,Yearly,6-8 years,3-5 years,British pounds sterling (£),55800.0
27933,1500000.0,Yearly,15-17 years,6-8 years,Indian rupees (₹),18000.0
27934,135000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),135000.0
27937,1000.0,Monthly,6-8 years,3-5 years,U.S. dollars ($),12000.0
27938,140000.0,Yearly,15-17 years,9-11 years,U.S. dollars ($),140000.0
27940,40000.0,Yearly,18-20 years,12-14 years,British pounds sterling (£),49600.0
27941,3500.0,Monthly,6-8 years,6-8 years,Euros (€),44940.0
27942,125000.0,Yearly,6-8 years,0-2 years,U.S. dollars ($),125000.0
27944,36000.0,Monthly,6-8 years,3-5 years,Swedish kroner (SEK),39744.0
27945,120000.0,Monthly,12-14 years,9-11 years,Russian rubles (₽),15840.0
27946,300000.0,Monthly,15-17 years,15-17 years,Indian rupees (₹),43200.0
27947,30000.0,Monthly,15-17 years,9-11 years,British pounds sterling (£),446400.0
27948,6800.0,Monthly,9-11 years,9-11 years,Brazilian reais (R$),15504.0
27950,198000.0,Yearly,15-17 years,9-11 years,U.S. dollars ($),198000.0
27953,106000.0,Yearly,0-2 years,0-2 years,U.S. dollars ($),106000.0
27954,72000.0,Yearly,15-17 years,9-11 years,Euros (€),77040.0
27955,4483.0,Monthly,12-14 years,3-5 years,British pounds sterling (£),66707.04000000001
27956,102000.0,Yearly,12-14 years,3-5 years,U.S. dollars ($),102000.0
27960,25220.0,Monthly,6-8 years,0-2 years,British pounds sterling (£),375273.6
27961,52000.0,Yearly,12-14 years,9-11 years,Euros (€),55640.0
27963,71440.0,Yearly,6-8 years,0-2 years,Canadian dollars (C$),52151.2
27966,38000.0,Yearly,12-14 years,9-11 years,Euros (€),40660.0
27967,60000.0,Weekly,6-8 years,3-5 years,U.S. dollars ($),3120000.0
27969,7000.0,Monthly,18-20 years,18-20 years,Swiss francs,92400.00000000001
27970,140.0,Monthly,3-5 years,0-2 years,Euros (€),1797.6000000000001
27971,58000.0,Monthly,15-17 years,6-8 years,Swedish kroner (SEK),64032.0
27972,15000.0,Yearly,3-5 years,0-2 years,British pounds sterling (£),18600.0
27973,50000.0,Yearly,21-23 years,12-14 years,U.S. dollars ($),50000.0
27974,190000.0,Yearly,30 or more years,27-29 years,U.S. dollars ($),190000.0
27976,17500.0,Monthly,0-2 years,0-2 years,South African rands (R),10920.0
27981,60000.0,Yearly,12-14 years,9-11 years,British pounds sterling (£),74400.0
27982,20000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),20000.0
27984,2900.0,Monthly,9-11 years,0-2 years,Euros (€),37236.0
27989,450.0,Monthly,6-8 years,3-5 years,Euros (€),5778.0
27990,55000.0,Yearly,6-8 years,3-5 years,Canadian dollars (C$),40150.0
27991,130000.0,Yearly,6-8 years,6-8 years,U.S. dollars ($),130000.0
27992,8500.0,Monthly,18-20 years,12-14 years,Swiss francs,112200.0
27994,1200.0,Monthly,3-5 years,0-2 years,Euros (€),15408.0
27996,116000.0,Yearly,9-11 years,9-11 years,U.S. dollars ($),116000.0
27997,3300.0,Monthly,12-14 years,3-5 years,Euros (€),42372.0
27998,100000.0,Yearly,18-20 years,15-17 years,U.S. dollars ($),100000.0
